YEAR,MONTH,DAY,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,DISTANCE,AIR_TIME,CANCELLED,DIVERTED,TAXI_OUT,TAXI_IN,FLIGHT_NUMBER
2014,10,13,UA,DFW,ORD,113,129,1473,165,1,0,23,12,4790
2015,10,3,UA,DFW,DEN,7,91,2169,260,0,0,6,13,6513
2014,1,13,SW,ATL,LAX,96,66,498,86,0,0,17,9,3698
2014,3,8,AA,DEN,LAX,-4,70,2046,33,0,0,9,11,8204
2014,12,21,DL,LAX,ATL,40,101,2541,81,0,0,29,10,6508
2015,4,21,DL,DEN,ORD,70,92,2076,141,0,0,16,10,7211
2014,11,13,SW,DFW,ATL,73,78,2689,232,0,0,14,18,7566
2014,7,3,SW,LAX,LAX,62,-4,1838,36,0,0,15,21,9824
2014,9,25,DL,LAX,LAX,68,87,1680,84,0,0,29,14,8539
2015,12,9,DL,ORD,LAX,98,127,2358,107,0,0,28,19,2366
2014,5,28,JB,ORD,DFW,111,114,1107,52,0,0,18,15,324
2014,12,28,SW,ORD,LAX,92,12,434,146,0,0,29,11,7524
2014,1,2,UA,DFW,ATL,-8,147,2777,280,1,0,23,13,3708
2014,2,8,AA,ORD,DEN,18,133,1883,246,0,0,5,11,3069
2015,10,1,AA,LAX,ORD,39,86,1960,100,0,0,22,24,5032
2014,2,21,JB,ATL,ATL,39,23,2663,184,0,0,17,23,6562
2015,9,15,SW,DEN,ORD,53,103,1717,243,0,0,21,8,727
2015,10,23,AA,ORD,DFW,53,148,2611,232,0,0,15,9,5963
2015,7,8,AA,DEN,DEN,49,12,947,59,0,1,15,16,2213
2014,2,8,AA,DFW,DFW,71,87,2114,248,0,0,10,18,1005
2015,1,22,DL,LAX,DFW,44,37,828,119,0,0,25,20,1998
2014,5,7,JB,DFW,ATL,83,62,1024,117,0,0,17,15,1847
2015,12,20,UA,ATL,DEN,86,128,1843,176,0,0,12,15,3588
2015,1,13,DL,DFW,DEN,21,144,1081,252,0,0,8,8,3008
2015,9,26,SW,ORD,LAX,68,139,2763,137,0,0,15,20,2934
2015,3,7,JB,LAX,DFW,31,2,1141,34,0,0,13,16,8767
2015,2,7,DL,ATL,DFW,70,126,426,103,0,0,6,19,5886
2015,6,25,DL,ORD,ORD,0,120,294,247,0,0,16,17,8175
2015,3,11,JB,DEN,LAX,41,60,2412,94,0,0,7,5,1018
2015,5,2,SW,DEN,LAX,8,73,922,293,0,1,17,17,8101
2014,10,11,JB,ORD,DEN,50,24,1027,112,0,0,21,16,8223
2014,8,24,JB,ORD,DFW,52,33,2210,58,0,0,21,13,6830
2015,10,25,SW,DEN,LAX,5,144,1829,180,0,0,6,15,2924
2015,2,19,DL,ATL,ORD,60,93,541,196,0,0,18,18,7926
2015,12,24,SW,LAX,DFW,110,68,2524,205,0,0,17,22,5884
2014,5,1,UA,DEN,DEN,14,68,1513,266,0,0,21,18,4696
2015,11,26,SW,DEN,LAX,64,126,605,97,0,0,5,19,4679
2014,8,21,UA,LAX,LAX,72,72,1199,254,0,0,25,20,5628
2014,1,17,JB,LAX,ATL,113,52,1976,217,0,0,26,9,5049
2014,10,1,AA,ORD,DFW,71,15,2928,176,0,0,7,24,8629
2014,10,13,JB,DFW,DEN,-9,67,2777,130,0,0,23,21,3023
2014,11,6,UA,LAX,DEN,12,34,1667,210,0,0,24,23,9955
2015,12,5,SW,LAX,LAX,88,85,2295,143,0,0,28,19,2427
2015,12,21,UA,DFW,ORD,82,15,1762,232,0,0,9,8,2493
